input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,matched_veridion_id,matched_company_name,company_legal_names,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,linkedin_url,website_url,match_score,match_status,review_needed
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,26e22210-93e5-11eb-b997-8dd98d09cf25,New Millennium Network,New Millennium Network Private Limited | MNET Services Private Limited,PK,Pakistan,Sindh,Karachi,74400,,,http://www.linkedin.com/company/mnet-services-private-limited,https://www.mnet.com.pk/,100.0,Matched,False
1,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2operate,2operate A/S.,DK,Denmark,North Denmark Region,Aalborg Municipality,9220,Niels Jernes Vej,10,https://www.linkedin.com/company/2operate-as,https://www.2operate.com/,100.0,Matched,False
2,3 STEP IT A/S,DK,Denmark,Region Of Southern Denmark,Tønder Municipality,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3 Step IT A/S.,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Vandtårnsvej,62,,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,100.0,Matched,False
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3 Step IT A/S.,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Vandtårnsvej,62,,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,88.0,Matched,False
4,3 Step IT Sweden AB,SE,Sweden,Östergötland County,Linköping,18851138-0c9f-11ec-bde4-478e66fdcca6,We Dig It,We dig it Sweden AB.,SE,Sweden,Örebro County,Örebro,703 42,Älvtomtagatan,12,https://www.linkedin.com/company/wedigit-sweden,https://wedigit.se/,93.4,Matched,False
5,"3DEGREES GROUP, INC.",US,United States,California,San Francisco,df61d790-93e4-11eb-aa66-9b8d95e2171b,3Degrees Inc.,3Degrees Inc. | 3Degrees Group Inc.,US,United States,California,San Francisco,94104,Montgomery Street,235,https://www.linkedin.com/company/3degrees,http://3degreesinc.com/,100.0,Matched,False
6,3Step IT Group Oy,FI,Finland,Uusimaa,Helsinki,ffa215ab-2d41-11ed-beec-abfee3849e16,3Step IT Oy.,3Step IT Oy.,FI,Finland,Uusimaa,Helsinki,,,,,https://karei.dev/,100.0,Matched,False
7,A.T. KEARNEY AB,SE,Sweden,,,08330b7d-aeb0-11ef-ac6a-636c4f5076ef,AT RÖRSERVICE,AT Rörservice AB.,SE,Sweden,Stockholm County,Stockholm,126 41,Juvelerarvägen,23,,https://www.vvshagersten.se/,71.7,Unmatched,False
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,4f44b02e-17aa-11f0-87dc-2b7a69541cf4,ATKEARNEY,,,,,,,,,,https://atkearney.top/#/,81.7,Needs Review,True
9,AALBORG CITY,DK,Denmark,North Denmark Region,Aalborg,1c1a574e-b8f5-11ed-821e-b344f0c3064f,Aalborg Hotel,Aalborg City Rooms ApS.,DK,Denmark,North Denmark Region,Aalborg,9000,Ved Stranden,14,,https://aalborg-airport-hotel-norresundby.booked.net/,100.0,Matched,False
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,,NO,Norway,Oslo,Oslo,0158,Rådhusgata,27,,https://www.accenture.no/,91.7,Matched,False
11,Accutics ApS,DK,Denmark,Region Of Southern Denmark,Odense,85356d41-f0a3-11ee-94a1-931fad84157d,Accutics,Accutics Inc. | Accutics ApS.,US,United States,New York,New York,10003,Park Avenue South,228,https://www.linkedin.com/company/accutics,https://accutics.webflow.io/,100.0,Matched,False
12,ACOME,FR,France,Ile-de-France,Paris,fed105d4-93e4-11eb-9937-4fab995bf8ff,ACOME Company a Cooperative,ACOME GmbH,FR,France,Ile-de-France,Paris,75014,Rue Du Montparnasse,52,https://www.linkedin.com/company/acome,https://www.acome.com/en,100.0,Matched,False
13,"ACOME XINTAI CABLES CO., LTD.",CN,China,Shandong,Xintai,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Acome Xintai Cables Co. Ltd.,Acome Xintai Cables Co. Ltd.,CN,China,Beijing,Chaoyang,100004,Chaoyang Road,,,,100.0,Matched,False
14,ADAPT A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,fb127778-a115-11ed-bd87-2548acfa747a,Adapt,,DK,Denmark,Capital Region Of Denmark,Rudersdal Municipality,2950,Haralds Vænge,29,http://www.linkedin.com/company/adapt1,https://www.a-dapt.dk/,100.0,Matched,False
